ID,RefSeq_accession_number,gene_symbol,gene_name
0,NP_958782,PLEC,plectin isoform 1
1,NP_958785,PLEC,plectin isoform 1g
2,NP_958786,PLEC,plectin isoform 1a
3,NP_000436,PLEC,plectin isoform 1c
4,NP_958781,PLEC,plectin isoform 1e
5,NP_958780,PLEC,plectin isoform 1f
6,NP_958783,PLEC,plectin isoform 1d
7,NP_958784,PLEC,plectin isoform 1b
8,NP_112598,EPPK1,epiplakin
9,NP_001611,AHNAK,neuroblast differentiation-associated protein AHNAK isoform 1
10,NP_076965,AHNAK,neuroblast differentiation-associated protein AHNAK isoform 2
11,NP_001367,DYNC1H1,cytoplasmic dynein 1 heavy chain 1
12,NP_036222,MACF1,microtubule-actin cross-linking factor 1
13,NP_001138241,DST,bullous pemphigoid antigen 1 isoform 2
14,NP_001714,DST,bullous pemphigoid antigen 1 isoform 1e precursor
15,NP_002464,MYH9,myosin-9
16,NP_001073936,MYO5B,unconventional myosin-Vb
17,NP_061198,MYO5C,unconventional myosin-Vc
18,NP_001074248,MYO1C,unconventional myosin-Ic isoform a
19,NP_001074419,MYO1C,unconventional myosin-Ic isoform b
20,NP_056009,MYO1D,unconventional myosin-Id
21,NP_036355,MYO1B,unconventional myosin-Ib isoform 2
22,NP_001155291,MYO1B,unconventional myosin-Ib isoform 1
23,NP_002462,MYH6,myosin-6
24,NP_000248,MYH7,myosin-7
25,NP_036467,MYO1F,unconventional myosin-If
26,NP_004989,MYO1E,unconventional myosin-Ie
27,NP_001243024,MYO10,myosin-10 isoform 3
28,NP_149043,MYO1G,unconventional myosin-Ig
29,NP_067047,ZNF462,zinc finger protein 462
30,NP_002461,MYH3,myosin-3
31,NP_060003,MYH4,myosin-4
32,NP_003793,MYH13,myosin-13
33,NP_060004,MYH2,myosin-2
34,NP_005954,MYH1,myosin-1
35,NP_002463,MYH8,myosin-8
36,NP_689914,ABCA13,ATP-binding cassette sub-family A member 13
37,NP_001242941,MYO10,myosin-10 isoform 1
38,NP_060227,ZNF407,zinc finger protein 407 isoform 1
39,NP_055796,MYH15,myosin-15 precursor
40,NP_065935,MYH7B,myosin-7B
41,NP_008974,KRR1,KRR1 small subunit processome component homolog
42,NP_001156806,SYTL5,synaptotagmin-like protein 5 isoform 2
43,NP_000251,MYO7A,unconventional myosin-VIIa isoform 1
44,NP_001242970,MYO1A,unconventional myosin-Ia
45,NP_001094891,MYO1H,unconventional myosin-Ih
46,NP_057323,MYO15A,unconventional myosin-XV
47,NP_002465,MYH11,myosin-11 isoform SM1A
48,NP_005955,MYH10,myosin-10 isoform 2
49,NP_001035202,MYH11,myosin-11 isoform SM2B
50,NP_001070654,MYH14,myosin-14 isoform 1
51,NP_079005,MYH14,myosin-14 isoform 2
52,NP_000250,MYO5A,unconventional myosin-Va isoform 1
53,NP_878918,SYNE2,nesprin-2 isoform 5
54,NP_892006,SYNE1,nesprin-1 isoform 1
55,NP_149062,SYNE1,nesprin-1 isoform 2
56,NP_001138722,SP9,transcription factor Sp9
57,NP_003118,SPTAN1,"spectrin alpha chain, non-erythrocytic 1 isoform 2"
58,NP_001123910,SPTAN1,"spectrin alpha chain, non-erythrocytic 1 isoform 1"
59,NP_001182461,SPTAN1,"spectrin alpha chain, non-erythrocytic 1 isoform 3"
